🕘️付玉龙制作,#genre#

📺央视频道,#genre#
CCTV-1,http://192.168.110.1:10086/udp/239.11.0.65:5140  
CCTV-2,http://192.168.110.1:10086/udp/239.11.0.108:5140  
CCTV-3,http://192.168.110.1:10086/udp/239.11.0.101:5140  
CCTV-4,http://192.168.110.1:10086/udp/239.11.0.109:5140  
CCTV-5,http://192.168.110.1:10086/udp/239.11.0.100:5140  
CCTV-5+,http://192.168.110.1:10086/udp/239.11.0.241:5140  
CCTV-6,http://192.168.110.1:10086/udp/239.11.0.102:5140  
CCTV-7,http://192.168.110.1:10086/udp/239.11.0.110:5140  
CCTV-8,http://192.168.110.1:10086/udp/239.11.0.103:5140  
CCTV-9,http://192.168.110.1:10086/udp/239.11.0.111:5140  
CCTV-10,http://192.168.110.1:10086/udp/239.11.0.112:5140  
CCTV-11,http://192.168.110.1:10086/udp/239.11.0.22:5140  
CCTV-12,http://192.168.110.1:10086/udp/239.11.0.113:5140  
CCTV-13,http://192.168.110.1:10086/udp/239.11.0.24:5140  
CCTV-14,http://192.168.110.1:10086/udp/239.11.0.114:5140  
CCTV-15,http://192.168.110.1:10086/udp/239.11.0.26:5140  
CCTV-16 (4K),http://192.168.110.1:10086/udp/239.11.0.67:5140  
CCTV-17,http://192.168.110.1:10086/udp/239.11.0.107:5140

📡卫视频道,#genre#
北京卫视,http://192.168.110.1:10086/udp/239.11.0.121:5140  
湖南卫视,http://192.168.110.1:10086/udp/239.11.0.119:5140  
浙江卫视,http://192.168.110.1:10086/udp/239.11.0.70:5140  
江苏卫视,http://192.168.110.1:10086/udp/239.11.0.76:5140  
东方卫视,http://192.168.110.1:10086/udp/239.11.0.68:5140  
广东卫视,http://192.168.110.1:10086/udp/239.11.0.115:5140  
深圳卫视,http://192.168.110.1:10086/udp/239.11.0.71:5140  
四川卫视,http://192.168.110.1:10086/udp/239.11.0.78:5140  
天津卫视,http://192.168.110.1:10086/udp/239.11.0.123:5140  
重庆卫视,http://192.168.110.1:10086/udp/239.11.0.116:5140  
山东卫视,http://192.168.110.1:10086/udp/239.11.0.73:5140  
安徽卫视,http://192.168.110.1:10086/udp/239.11.0.117:5140  
江西卫视,http://192.168.110.1:10086/udp/239.11.0.42:5140  
海南卫视,http://192.168.110.1:10086/udp/239.11.0.193:5140  
辽宁卫视,http://192.168.110.1:10086/udp/239.11.0.118:5140  
东南卫视,http://192.168.110.1:10086/udp/239.11.0.41:5140  
广西卫视,http://192.168.110.1:10086/udp/239.11.0.48:5140  
河北卫视,http://192.168.110.1:10086/udp/239.11.0.31:5140  
山西卫视,http://192.168.110.1:10086/udp/239.11.0.32:5140  
陕西卫视,http://192.168.110.1:10086/udp/239.11.0.54:5140  
贵州卫视,http://192.168.110.1:10086/udp/239.11.0.51:5140  
湖北卫视,http://192.168.110.1:10086/udp/239.11.0.74:5140  
青海卫视,http://192.168.110.1:10086/udp/239.11.0.56:5140  
河南卫视,http://192.168.110.1:10086/udp/239.11.0.44:5140  
宁夏卫视,http://192.168.110.1:10086/udp/239.11.0.57:5140  
甘肃卫视,http://192.168.110.1:10086/udp/239.11.0.55:5140  
西藏卫视,http://192.168.110.1:10086/udp/239.11.0.53:5140  
内蒙古卫视,http://192.168.110.1:10086/udp/239.11.0.33:5140  
吉林卫视,http://192.168.110.1:10086/udp/239.11.0.35:5140  
新疆卫视,http://192.168.110.1:10086/udp/239.11.0.58:5140  
云南卫视,http://192.168.110.1:10086/udp/239.11.0.52:5140  
黑龙江卫视,http://192.168.110.1:10086/udp/239.11.0.36:5140  
厦门卫视,http://192.168.110.1:10086/udp/239.11.0.83:5140  
三沙卫视,http://192.168.110.1:10086/udp/239.11.0.84:5140
兵团卫视,http://192.168.110.1:10086/udp/239.11.0.204:5140  
延边卫视,http://192.168.110.1:10086/udp/239.11.0.206:5140  
安多卫视,http://192.168.110.1:10086/udp/239.11.0.124:5140

地方台,#genre#
四川经济,http://192.168.110.1:10086/udp/239.11.0.2:5140  
四川文化旅游,http://192.168.110.1:10086/udp/239.11.0.3:5140  
四川乡村,http://192.168.110.1:10086/udp/239.11.0.4:5140  
四川新闻资讯,http://192.168.110.1:10086/udp/239.11.0.5:5140  
四川妇女儿童,http://192.168.110.1:10086/udp/239.11.0.8:5140  
四川科教,http://192.168.110.1:10086/udp/239.11.0.194:5140  
峨眉电影,http://192.168.110.1:10086/udp/239.11.0.11:5140  
四川影视文艺-高清,http://192.168.110.1:10086/udp/239.11.0.77:5140    
康巴卫视,http://192.168.110.1:10086/udp/239.11.0.10:5140  
CDTV1,http://192.168.110.1:10086/udp/239.10.0.11:5140  
CDTV2,http://192.168.110.1:10086/udp/239.10.0.12:5140  
CDTV3,http://192.168.110.1:10086/udp/239.10.0.13:5140  
CDTV4,http://192.168.110.1:10086/udp/239.10.0.14:5140  
CDTV5,http://192.168.110.1:10086/udp/239.10.0.15:5140  
CDTV6,http://192.168.110.1:10086/udp/239.10.0.16:5140  
CDTV8,http://192.168.110.1:10086/udp/239.10.0.33:5140  


购物 & 少儿频道​,#genre#
家有购物,http://192.168.110.1:10086/udp/239.10.0.226:5140  
优购物,http://192.168.110.1:10086/udp/239.10.0.227:5140  
聚鲨环球精选,http://192.168.110.1:10086/udp/239.10.0.228:5140  
时尚购物,http://192.168.110.1:10086/udp/239.10.0.225:5140  
央广购物,http://192.168.110.1:10086/udp/239.10.0.200:5140  
星空购物,http://192.168.110.1:10086/udp/239.11.0.125:5140  
金鹰卡通,http://192.168.110.1:10086/udp/239.11.0.127:5140  
卡酷少儿,http://192.168.110.1:10086/udp/239.11.0.129:5140  
广东嘉佳卡通,http://192.168.110.1:10086/udp/239.11.0.203:5140  
优漫卡通,http://192.168.110.1:10086/udp/239.11.0.63:5140  
炫动卡通,http://192.168.110.1:10086/udp/239.11.0.64:5140  

国际频道​​,#genre#
CGTN-纪录,http://192.168.110.1:10086/udp/239.11.0.138:5140  
CGTN-英文,http://192.168.110.1:10086/udp/239.11.0.245:5140  
CGTN西班牙语,http://192.168.110.1:10086/udp/239.11.0.79:5140  
CGTN法语,http://192.168.110.1:10086/udp/239.11.0.80:5140  
CGTN阿拉伯语,http://192.168.110.1:10086/udp/239.11.0.81:5140  
CGTN俄语,http://192.168.110.1:10086/udp/239.11.0.82:5140  
中国教育-1,http://192.168.110.1:10086/udp/239.11.0.139:5140  
CETV-2,http://192.168.110.1:10086/udp/239.11.0.246:5140  
中学生,http://192.168.110.1:10086/udp/239.11.0.247:5140  
CETV-4,http://192.168.110.1:10086/udp/239.11.0.248:5140  
山东教育,http://192.168.110.1:10086/udp/239.11.0.140:5140  

4K & 高清频道​
CCTV-16 (4K),http://192.168.110.1:10086/udp/239.11.0.67:5140  
北京卫视4K,http://192.168.110.1:10086/udp/239.10.0.91:5140  
